DOCUMENTO 1
   Término   TF         IDF        TF-IDF     Índice
      this   1.000000   0.000000   0.000000   3
      wine   1.000000   0.000000   0.000000   4
       has   1.000000   0.698970   0.698970   5
     plump   1.000000   1.000000   1.000000   6
    aromas   1.000000   0.602060   0.602060   7
        of   1.000000   0.000000   0.000000   8
      ripe   1.000000   0.698970   0.698970   9
     fruit   1.000000   0.301030   0.301030   10
blackberry   1.000000   1.301030   1.301030   11
       jam   1.000000   1.301030   1.301030   12
       and   2.000000   0.000000   0.000000   13
       rum   1.000000   1.301030   1.301030   14
      cake   1.000000   1.301030   1.301030   15
        On   1.000000   1.301030   1.301030   16
       the   1.000000   0.000000   0.000000   17
    palate   1.000000   0.602060   0.602060   18
        it   1.000000   0.778151   0.778151   19
        is   1.000000   0.000000   0.000000   20
      soft   1.000000   1.000000   1.000000   21
       and   2.000000   0.000000   0.000000   22
    smooth   1.000000   1.301030   1.301030   23

DOCUMENTO 10
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      Part   1.000000   1.000000   1.000000   0
        of   2.000000   0.000000   0.000000   1
       the   3.000000   0.000000   0.000000   2
   natural   1.000000   1.301030   1.301030   3
      wine   2.000000   0.000000   0.000000   4
  movement   1.000000   1.301030   1.301030   5
      this   1.000000   0.000000   0.000000   6
      wine   2.000000   0.000000   0.000000   7
        is   3.000000   0.000000   0.000000   8
      made   1.000000   1.301030   1.301030   9
      from   1.000000   1.000000   1.000000   10
   organic   1.000000   1.301030   1.301030   11
    grapes   1.000000   1.301030   1.301030   12
       and   2.000000   0.000000   0.000000   13
       the   3.000000   0.000000   0.000000   14
     label   1.000000   1.301030   1.301030   15
        is   3.000000   0.000000   0.000000   16
   printed   1.000000   1.301030   1.301030   17
      with   2.000000   0.000000   0.000000   18
 vegetable   1.000000   1.301030   1.301030   19
       ink   1.000000   1.301030   1.301030   20
        on   2.000000   0.778151   1.556302   21
  recycled   1.000000   1.301030   1.301030   22
     paper   1.000000   1.301030   1.301030   23
       The   1.000000   0.301030   0.301030   24
   quality   1.000000   1.000000   1.000000   25
        of   2.000000   0.000000   0.000000   26
     fruit   1.000000   0.301030   0.301030   27
        is   3.000000   0.000000   0.000000   28
      very   1.000000   1.301030   1.301030   29
      nice   1.000000   1.301030   1.301030   30
      with   2.000000   0.000000   0.000000   31
         a   2.000000   0.000000   0.000000   32
     juicy   1.000000   0.778151   0.778151   33
    palate   1.000000   0.602060   0.602060   34
       and   2.000000   0.000000   0.000000   35
         a   2.000000   0.000000   0.000000   36
    bright   1.000000   0.778151   0.778151   37
     berry   1.000000   0.698970   0.698970   38
    flavor   1.000000   0.602060   0.602060   39
        on   2.000000   0.778151   1.556302   40
       the   3.000000   0.000000   0.000000   41
    finish   1.000000   0.602060   0.602060   42

DOCUMENTO 11
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
Catarratto   1.000000   1.301030   1.301030   0
        is   1.000000   0.000000   0.000000   1
       one   1.000000   1.301030   1.301030   2
        of   1.000000   0.000000   0.000000   3
  Sicily's   1.000000   1.301030   1.301030   4
      most   1.000000   1.301030   1.301030   5
    widely   1.000000   1.301030   1.301030   6
    farmed   1.000000   1.301030   1.301030   7
     white   1.000000   1.000000   1.000000   8
     grape   1.000000   1.301030   1.301030   9
 varieties   1.000000   1.301030   1.301030   10
      This   1.000000   0.477121   0.477121   11
expression   1.000000   1.301030   1.301030   12
     shows   1.000000   0.778151   0.778151   13
         a   1.000000   0.000000   0.000000   14
   mineral   1.000000   1.000000   1.000000   15
      note   1.000000   1.301030   1.301030   16
    backed   1.000000   1.000000   1.000000   17
        by   1.000000   0.698970   0.698970   18
    citrus   1.000000   0.778151   0.778151   19
       and   1.000000   0.000000   0.000000   20
    almond   1.000000   1.301030   1.301030   21
   blossom   1.000000   1.301030   1.301030   22
   touches   1.000000   1.000000   1.000000   23

DOCUMENTO 12
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
         A   1.000000   1.000000   1.000000   0
     stiff   1.000000   1.301030   1.301030   1
    tannic   1.000000   1.301030   1.301030   2
      wine   1.000000   0.000000   0.000000   3
      this   1.000000   0.000000   0.000000   4
    slowly   1.000000   1.301030   1.301030   5
     opens   1.000000   1.301030   1.301030   6
       and   1.000000   0.000000   0.000000   7
    brings   1.000000   1.301030   1.301030   8
   brambly   1.000000   1.301030   1.301030   9
     berry   1.000000   0.698970   0.698970   10
   flavors   1.000000   0.301030   0.301030   11
      into   1.000000   1.301030   1.301030   12
      play   1.000000   1.301030   1.301030   13
     along   1.000000   1.301030   1.301030   14
      with   1.000000   0.000000   0.000000   15
     notes   1.000000   0.477121   0.477121   16
        of   2.000000   0.000000   0.000000   17
    earthy   1.000000   1.301030   1.301030   18
     herbs   1.000000   1.301030   1.301030   19
   There's   1.000000   1.301030   1.301030   20
         a   1.000000   0.000000   0.000000   21
     touch   1.000000   1.000000   1.000000   22
        of   2.000000   0.000000   0.000000   23
bitterness   1.000000   1.000000   1.000000   24
        to   1.000000   0.778151   0.778151   25
       the   1.000000   0.000000   0.000000   26
   tannins   1.000000   0.698970   0.698970   27

DOCUMENTO 13
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      This   1.000000   0.477121   0.477121   0
        is   1.000000   0.000000   0.000000   1
         a   2.000000   0.000000   0.000000   2
   festive   1.000000   1.301030   1.301030   3
      wine   1.000000   0.000000   0.000000   4
      with   1.000000   0.000000   0.000000   5
      soft   1.000000   1.000000   1.000000   6
      ripe   1.000000   0.698970   0.698970   7
     fruit   1.000000   0.301030   0.301030   8
       and   1.000000   0.000000   0.000000   9
   acidity   1.000000   0.778151   0.778151   10
      plus   1.000000   1.301030   1.301030   11
         a   2.000000   0.000000   0.000000   12
       red   1.000000   1.000000   1.000000   13
     berry   1.000000   0.698970   0.698970   14
    flavor   1.000000   0.602060   0.602060   15

DOCUMENTO 14
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
       The   1.000000   0.301030   0.301030   0
     clean   1.000000   0.778151   0.778151   1
     brisk   1.000000   1.301030   1.301030   2
 mouthfeel   1.000000   1.301030   1.301030   3
     gives   1.000000   1.301030   1.301030   4
      this   2.000000   0.000000   0.000000   5
  slightly   1.000000   1.301030   1.301030   6
     oaked   1.000000   1.301030   1.301030   7
 Sauvignon   1.000000   0.698970   0.698970   8
     Blanc   1.000000   0.778151   0.778151   9
   instant   1.000000   1.301030   1.301030   10
likeability   1.000000   1.301030   1.301030   11
      It's   1.000000   1.301030   1.301030   12
       dry   1.000000   1.000000   1.000000   13
      with   3.000000   0.000000   0.000000   14
         a   2.000000   0.000000   0.000000   15
      rich   1.000000   1.301030   1.301030   16
    streak   1.000000   1.301030   1.301030   17
        of   1.000000   0.000000   0.000000   18
     honey   1.000000   0.778151   0.778151   19
      that   1.000000   0.602060   0.602060   20
  sweetens   1.000000   1.301030   1.301030   21
       the   1.000000   0.000000   0.000000   22
    citrus   1.000000   0.778151   0.778151   23
      pear   1.000000   1.301030   1.301030   24
       and   1.000000   0.000000   0.000000   25
  tropical   1.000000   1.000000   1.000000   26
     fruit   1.000000   0.301030   0.301030   27
   flavors   1.000000   0.301030   0.301030   28
      Pair   1.000000   1.000000   1.000000   29
      this   2.000000   0.000000   0.000000   30
      with   3.000000   0.000000   0.000000   31
     Asian   1.000000   1.301030   1.301030   32
      fare   1.000000   1.301030   1.301030   33
       ham   1.000000   1.301030   1.301030   34
        or   1.000000   0.778151   0.778151   35
         a   2.000000   0.000000   0.000000   36
     green   1.000000   1.000000   1.000000   37
     salad   1.000000   1.301030   1.301030   38
      with   3.000000   0.000000   0.000000   39
grapefruit   1.000000   1.000000   1.000000   40
  sections   1.000000   1.301030   1.301030   41

DOCUMENTO 15
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
         A   1.000000   1.000000   1.000000   0
     berry   1.000000   0.698970   0.698970   1
     aroma   1.000000   1.301030   1.301030   2
     comes   1.000000   1.000000   1.000000   3
      with   2.000000   0.000000   0.000000   4
      cola   1.000000   1.301030   1.301030   5
       and   4.000000   0.000000   0.000000   6
      herb   1.000000   1.000000   1.000000   7
     notes   1.000000   0.477121   0.477121   8
       The   1.000000   0.301030   0.301030   9
    palate   1.000000   0.602060   0.602060   10
        is   1.000000   0.000000   0.000000   11
     tangy   1.000000   1.301030   1.301030   12
       and   4.000000   0.000000   0.000000   13
      racy   1.000000   1.301030   1.301030   14
       and   4.000000   0.000000   0.000000   15
        it   1.000000   0.778151   0.778151   16
  delivers   1.000000   1.301030   1.301030   17
 raspberry   1.000000   1.301030   1.301030   18
       and   4.000000   0.000000   0.000000   19
      plum   1.000000   1.301030   1.301030   20
   flavors   1.000000   0.301030   0.301030   21
      with   2.000000   0.000000   0.000000   22
         a   1.000000   0.000000   0.000000   23
    modest   1.000000   1.301030   1.301030   24
    finish   1.000000   0.602060   0.602060   25

DOCUMENTO 16
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
     Right   1.000000   1.301030   1.301030   0
       out   1.000000   1.000000   1.000000   1
        of   2.000000   0.000000   0.000000   2
       the   3.000000   0.000000   0.000000   3
  starting   1.000000   1.301030   1.301030   4
    blocks   1.000000   1.301030   1.301030   5
      this   1.000000   0.000000   0.000000   6
        is   2.000000   0.000000   0.000000   7
        an   1.000000   0.778151   0.778151   8
      oaky   1.000000   1.301030   1.301030   9
      wine   1.000000   0.000000   0.000000   10
  dripping   1.000000   1.301030   1.301030   11
      with   2.000000   0.000000   0.000000   12
   caramel   1.000000   1.301030   1.301030   13
       and   3.000000   0.000000   0.000000   14
   vanilla   1.000000   1.000000   1.000000   15
     notes   1.000000   0.477121   0.477121   16
       The   1.000000   0.301030   0.301030   17
   texture   1.000000   1.301030   1.301030   18
        on   1.000000   0.778151   0.778151   19
       the   3.000000   0.000000   0.000000   20
 midpalate   1.000000   1.301030   1.301030   21
        is   2.000000   0.000000   0.000000   22
  finessed   1.000000   1.301030   1.301030   23
       and   3.000000   0.000000   0.000000   24
  graceful   1.000000   1.301030   1.301030   25
      with   2.000000   0.000000   0.000000   26
    drying   1.000000   1.000000   1.000000   27
   tannins   1.000000   0.698970   0.698970   28
